# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	10093
#@/user_id	a8b00f8d-da25-48f6-bb68-71052c2c8d80
biao xian 	表現	c=4 d=1.08475e-17 t=10093
biao yu 	標語	c=2 d=3.04731e-09 t=10093
biao zhun 	標準	c=1 d=0.0127784 t=10093
bin fen 	繽紛	c=1 d=0.442639 t=10093
bin guan 	賓館	c=1 d=0.951229 t=10093
bing 	並	c=19 d=0.170687 t=10093
bing 	兵	c=2 d=0.379083 t=10093
bing 	冰	c=3 d=6.85193e-17 t=10093
bing 	病	c=1 d=0.386741 t=10093
bing bu 	並不	c=1 d=9.12814e-16 t=10093
bing bu dai biao 	並不代表	c=2 d=7.65746e-08 t=10093
bing bu qu 	並不去	c=1 d=5.87685e-12 t=10093
bing bu shi 	並不是	c=3 d=1.09738e-05 t=10093
bing bu xu yao 	並不需要	c=1 d=2.34124e-08 t=10093
bing bu zhan 	並不佔	c=1 d=0.000265207 t=10093
bing chuan 	冰川	c=1 d=3.65721e-20 t=10093
bing deng 	冰燈	c=5 d=8.86147e-19 t=10093
bing du gan ran 	病毒感染	c=0 d=0.0631284 t=10093
bing fa 	併發	c=1 d=2.7295e-19 t=10093
bing li 	病例	c=7 d=5.64665 t=10093
bing mei you 	並沒有	c=5 d=0.0254887 t=10093
bing qing 	病情	c=0 d=0.066365 t=10093
bing qing wen ding 	病情穩定	c=1 d=0.666977 t=10093
bing wei 	並未	c=1 d=2.55598e-11 t=10093
bing yu 	並於	c=2 d=0.0845849 t=10093
bo 	柏	c=1 d=0.214381 t=10093
bo fang 	播放	c=1 d=0.349938 t=10093
bo fang lie biao 	播放列表	c=1 d=0.020141 t=10093
bo ge 	伯格	c=1 d=0.0258615 t=10093
bo ke 	博客	c=4 d=0.138439 t=10093
bo ke he ji 	博客合集	c=1 d=0.0441572 t=10093
bo lan 	波蘭	c=1 d=0.017953 t=10093
bo li 	玻璃	c=1 d=0.582748 t=10093
bo tong 	博通	c=1 d=1.10401e-17 t=10093
bo wen 	博文	c=4 d=0.676729 t=10093
bo yang 	鄱陽	c=1 d=0.213312 t=10093
bu 	不	c=2 d=0.179964 t=10093
bu 	步	c=1 d=0.609571 t=10093
bu 	部	c=2 d=0.407872 t=10093
bu bi yao 	不必要	c=1 d=9.97928e-06 t=10093
bu chu 	不出	c=0 d=4.46617e-19 t=10093
bu chu yi wai 	不出意外	c=1 d=4.48856e-18 t=10093
bu cun zai 	不存在	c=1 d=5.87885e-16 t=10093
bu da 	不大	c=1 d=5.04605e-13 t=10093
bu dao 	不到	c=1 d=0.0357931 t=10093
bu de 	不得	c=0 d=1.77435e-12 t=10093
bu de bu 	不得不	c=1 d=1.89906e-16 t=10093
bu de bu shuo 	不得不說	c=1 d=1.78325e-11 t=10093
bu dian ying 	部電影	c=0 d=0.00274607 t=10093
bu ding 	補丁	c=2 d=7.86118e-15 t=10093
bu duan 	不斷	c=1 d=5.46353e-07 t=10093
bu dui 	部隊	c=1 d=2.356e-09 t=10093
bu duo 	不多	c=1 d=2.53184e-17 t=10093
bu fen 	部分	c=3 d=3.28938e-06 t=10093
bu fu he 	不符合	c=1 d=5.93794e-16 t=10093
bu gai 	不該	c=1 d=0.000808767 t=10093
bu gou 	不夠	c=1 d=2.2846e-14 t=10093
bu guan 	不管	c=1 d=9.87968e-05 t=10093
bu guang 	不光	c=1 d=3.87004e-10 t=10093
bu guang guang shi 	不光光是	c=1 d=3.88944e-09 t=10093
bu guo 	不過	c=1 d=1.91287e-13 t=10093
bu hao 	不好	c=1 d=1.82276e-11 t=10093
bu hao ting 	不好聽	c=1 d=3.50295e-13 t=10093
bu hao yong 	不好用	c=1 d=0.0315873 t=10093
bu he 	不合	c=2 d=9.64181e-12 t=10093
bu he li 	不合理	c=2 d=1.36559e-13 t=10093
bu he li xing wei 	不合理行爲	c=1 d=5.61921e-14 t=10093
bu hui 	不會	c=7 d=9.4765e-07 t=10093
bu jin 	不僅	c=1 d=1.05525e-15 t=10093
bu jin jin 	不僅僅	c=5 d=7.12852e-05 t=10093
bu jiu 	不久	c=2 d=2.84485e-06 t=10093
bu jue 	不覺	c=2 d=4.50047e-10 t=10093
bu ke 	不可	c=1 d=2.48686e-12 t=10093
bu ke neng 	不可能	c=4 d=9.58544e-13 t=10093
bu ke que shao 	不可缺少	c=1 d=2.29129e-19 t=10093
bu kuai 	不快	c=1 d=1.76214e-18 t=10093
bu lai 	不來	c=0 d=4.55717e-21 t=10093
bu liao 	不了	c=1 d=1.61717e-08 t=10093
bu lin 	布林	c=0 d=0.00420036 t=10093
bu man yi 	不滿意	c=1 d=2.0016e-17 t=10093
bu mie 	不滅	c=1 d=2.21249e-19 t=10093
bu neng 	不能	c=5 d=5.63774e-09 t=10093
bu ping fan 	不平凡	c=1 d=7.98924e-07 t=10093
bu qu 	不去	c=2 d=3.5898e-07 t=10093
bu ran 	不然	c=2 d=2.39691e-12 t=10093
bu shao 	不少	c=1 d=8.29814e-12 t=10093
bu shao dong hua 	不少動畫	c=1 d=8.81418e-16 t=10093
bu sheng 	不生	c=1 d=0.102797 t=10093
bu shi 	不是	c=7 d=2.1081 t=10093
bu shu yu 	不屬於	c=1 d=9.78334e-08 t=10093
bu shuo 	不說	c=0 d=1.77435e-12 t=10093
bu tai 	不太	c=1 d=1.05726e-08 t=10093
bu tong 	不同	c=11 d=0.145331 t=10093
bu tong yi 	不同意	c=1 d=5.26468e-12 t=10093
bu tu 	不吐	c=1 d=1.75336e-18 t=10093
bu tu bu kuai 	不吐不快	c=3 d=5.35475e-18 t=10093
bu tuo yan 	不拖延	c=1 d=0.0599047 t=10093
bu xi 	補習	c=1 d=1.37853e-12 t=10093
bu xi huan 	不喜歡	c=1 d=1.66297e-13 t=10093
bu xi wang 	不希望	c=2 d=1.92731e-05 t=10093
bu xian yu 	不限於	c=2 d=7.99164e-09 t=10093
bu xiang 	不想	c=0 d=2.95683e-20 t=10093
bu xiang kan 	不想看	c=1 d=2.97165e-19 t=10093
bu xiang qu 	不想去	c=1 d=3.64405e-07 t=10093
bu xiao 	不小	c=1 d=0.559898 t=10093
bu xing 	步行	c=1 d=0.00571306 t=10093
bu xu yao 	不需要	c=0 d=2.32956e-09 t=10093
bu yao 	不要	c=1 d=9.90555e-07 t=10093
bu ying gai 	不應該	c=3 d=0.000163287 t=10093
bu yu 	捕魚	c=1 d=1.7404e-19 t=10093
bu yuan yi 	不願意	c=3 d=0.00323088 t=10093
bu zai 	不再	c=0 d=5.21141e-11 t=10093
bu zai hu 	不在乎	c=1 d=0.037068 t=10093
bu zai you 	不再有	c=1 d=5.23753e-10 t=10093
bu zhan 	不佔	c=0 d=2.63884e-05 t=10093
bu zhe 	不折	c=1 d=5.70511e-16 t=10093
bu zhi 	不知	c=2 d=4.47802e-10 t=10093
bu zhi bu jue 	不知不覺	c=2 d=0.00106477 t=10093
bu zhi chi 	不支持	c=2 d=1.79904e-07 t=10093
bu zhi dao 	不知道	c=1 d=8.23255e-07 t=10093
bu zhong shi 	不重視	c=1 d=7.375e-07 t=10093
bu zhuan 	不賺	c=0 d=5.73565e-21 t=10093
bu zhuan ji 	不賺機	c=1 d=5.7644e-20 t=10093
bu zi you 	不自由	c=1 d=1.06549e-11 t=10093
bu zu 	不足	c=1 d=2.88785e-06 t=10093
cai 	才	c=6 d=0.00766707 t=10093
cai 	蔡	c=2 d=0.00011107 t=10093
cai 	財	c=1 d=0.329559 t=10093
cai bao 	財報	c=4 d=4.47209e-18 t=10093
cai hui 	纔會	c=1 d=5.95027e-11 t=10093
cai jing 	財經	c=1 d=7.89873e-20 t=10093
cai kai shi 	纔開始	c=1 d=2.10351e-13 t=10093
cai neng 	才能	c=2 d=0.00891518 t=10093
cai niao 	菜鳥	c=1 d=2.1287e-06 t=10093
cai xiang 	猜想	c=1 d=3.37603e-20 t=10093
cai yong 	採用	c=1 d=4.03141e-19 t=10093
can 	燦	c=1 d=4.0783e-08 t=10093
can an 	慘案	c=1 d=2.25449e-05 t=10093
can bai 	參拜	c=1 d=4.56508e-11 t=10093
can dou 	蠶豆	c=1 d=0.384812 t=10093
can kan 	參看	c=1 d=3.31493e-11 t=10093
can kao 	參考	c=2 d=0.000132359 t=10093
can yu 	參與	c=3 d=4.13818e-08 t=10093
cang 	藏	c=1 d=0.516851 t=10093
cao 	槽	c=1 d=2.48559e-06 t=10093
cao zuo 	操作	c=1 d=1.44596e-15 t=10093
ce shi 	測試	c=2 d=0.0589024 t=10093
ce shi yi xia 	測試一下	c=1 d=0.394554 t=10093
ceng 	曾	c=4 d=0.0019029 t=10093
ceng jing 	曾經	c=6 d=0.229726 t=10093
ceng jing bei 	曾經被	c=1 d=5.59119e-14 t=10093
ceng mian 	層面	c=1 d=4.22285e-06 t=10093
cha 	差	c=2 d=0.0569831 t=10093
cha 	查	c=4 d=3.07507e-12 t=10093
cha kan 	查看	c=2 d=0.024234 t=10093
cha xun 	查詢	c=1 d=2.81166e-15 t=10093
cha yi 	差異	c=2 d=4.54486e-13 t=10093
cha yue 	查閱	c=1 d=2.30678e-10 t=10093
cha zheng 	查證	c=1 d=2.30121e-11 t=10093
cha zuo 	插座	c=1 d=2.0061e-14 t=10093
chai fen 	拆分	c=1 d=1.28289e-19 t=10093
chai kai 	拆開	c=3 d=2.26805 t=10093
chan 	產	c=1 d=9.22144e-18 t=10093
chan pin 	產品	c=1 d=2.31393e-17 t=10093
chan sheng 	產生	c=2 d=3.63802e-10 t=10093
chan ye 	產業	c=1 d=9.42085e-05 t=10093
chang 	昌	c=1 d=0.371577 t=10093
chang chang 	常常	c=1 d=1.13666e-07 t=10093
chang cheng 	長城	c=2 d=1.14133e-12 t=10093
chang di 	場地	c=1 d=1.84168e-08 t=10093
chang pian da lun 	長篇大論	c=3 d=6.19e-12 t=10093
chang rong 	長榮	c=9 d=8.65101e-15 t=10093
chang shi 	嘗試	c=1 d=1.13686e-09 t=10093
chang yong 	常用	c=1 d=2.96297e-14 t=10093
chang zhu 	常住	c=1 d=2.95331e-05 t=10093
chao feng 	嘲諷	c=0 d=5.04348e-08 t=10093
chao feng le 	嘲諷了	c=1 d=5.06876e-07 t=10093
chao jia 	吵架	c=1 d=3.92039e-14 t=10093
chao le 	吵了	c=1 d=3.95979e-14 t=10093
chao shi 	超市	c=1 d=0.00600598 t=10093
chao zhong 	超重	c=2 d=8.75347e-15 t=10093
che 	扯	c=1 d=3.55408e-07 t=10093
che 	車	c=1 d=1.26229e-06 t=10093
che dan 	扯淡	c=1 d=5.81838e-12 t=10093
che li 	撤離	c=1 d=3.61713e-08 t=10093
che xiao 	撤銷	c=1 d=2.29722e-20 t=10093
chen 	塵	c=1 d=0.0497871 t=10093
chen mo 	沉默	c=1 d=5.17556e-17 t=10093
chen shu 	陳述	c=1 d=2.68009e-10 t=10093
chen zhe 	趁着	c=1 d=1.47467e-11 t=10093
cheng 	城	c=1 d=1.07935e-16 t=10093
cheng 	成	c=1 d=6.13357e-15 t=10093
cheng 	稱	c=2 d=0.609571 t=10093
cheng ben 	成本	c=2 d=0.819283 t=10093
cheng ben jia 	成本價	c=1 d=0.410656 t=10093
cheng du 	程度	c=4 d=0.000504176 t=10093
cheng jiu gan 	成就感	c=1 d=3.17781e-14 t=10093
cheng le 	成了	c=2 d=9.24059e-13 t=10093
cheng li 	成立	c=1 d=1.43826e-11 t=10093
cheng nian ren 	成年人	c=4 d=0.00167101 t=10093
cheng shi 	城市	c=5 d=0.0171072 t=10093
cheng shu 	成熟	c=1 d=3.94071e-16 t=10093
cheng wei 	成爲	c=11 d=0.154583 t=10093
cheng wei 	稱爲	c=2 d=1.04961e-13 t=10093
cheng wei le 	成爲了	c=3 d=5.82519e-14 t=10093
cheng xin cheng yi 	誠心誠意	c=1 d=3.15218e-07 t=10093
cheng xu yuan 	程序員	c=1 d=0.000311223 t=10093
cheng yi 	乘以	c=5 d=3.10316 t=10093
chi 	吃	c=2 d=3.81113e-05 t=10093
chi du 	尺度	c=0 d=1.99643e-17 t=10093
chi gu 	持股	c=1 d=0.414783 t=10093
chi xu 	持續	c=4 d=4.97433e-08 t=10093
chi you 	持有	c=2 d=0.000665481 t=10093
chi zao 	遲早	c=1 d=9.88839e-16 t=10093
chong bai 	崇拜	c=2 d=3.53263e-10 t=10093
chong ding xiang 	重定向	c=1 d=2.68237e-20 t=10093
chong fan 	重返	c=1 d=4.41107e-19 t=10093
chong fen 	充分	c=1 d=3.14512e-10 t=10093
chong jing 	崇敬	c=1 d=4.92063e-11 t=10093
chong qi 	重啓	c=2 d=1.50044e-17 t=10093
chong xi 	沖洗	c=1 d=2.4515e-20 t=10093
chong xin 	重新	c=2 d=2.07298e-17 t=10093
chong zhe 	衝着	c=0 d=7.58256e-11 t=10093
chou ma 	籌碼	c=1 d=2.6884e-17 t=10093
chu 	出	c=7 d=0.106052 t=10093
chu 	處	c=4 d=0.107695 t=10093
chu de 	出的	c=0 d=1.9718e-18 t=10093
chu dong 	出動	c=1 d=1.46328e-08 t=10093
chu fa 	出發	c=1 d=3.94138e-18 t=10093
chu fei 	除非	c=1 d=1.15722e-12 t=10093
chu lai 	出來	c=4 d=0.0469407 t=10093
chu le 	出了	c=1 d=0.00204983 t=10093
chu le 	除了	c=2 d=0.0301992 t=10093
chu li 	處理	c=1 d=0.0761538 t=10093
chu ru 	出入	c=1 d=0.965605 t=10093
chu ru jing 	出入境	c=1 d=0.970446 t=10093
chu shen me 	出什麼	c=1 d=8.48327e-07 t=10093
chu tai 	出臺	c=3 d=4.27886e-06 t=10093
chu xi 	除息	c=1 d=1.13489e-18 t=10093
chu xian 	出現	c=6 d=1.89954 t=10093
chu xu 	儲蓄	c=2 d=0.237687 t=10093
